iter	Passed	Remaining
0	5	533
1	8	412
2	11	386
3	13	326
4	15	299
5	17	272
6	19	254
7	20	239
8	23	236
9	25	232
10	27	221
11	28	212
12	30	204
13	32	196
14	34	195
15	35	188
16	37	184
17	39	177
18	40	173
19	41	167
20	42	161
21	44	157
22	45	153
23	47	149
24	49	147
25	50	143
26	52	142
27	53	137
28	54	132
29	55	128
30	55	124
31	56	120
32	57	116
33	58	114
34	59	110
35	60	107
36	61	104
37	62	101
38	63	99
39	64	96
40	65	94
41	66	91
42	67	89
43	68	86
44	69	84
45	69	82
46	70	79
47	71	77
48	72	75
49	73	73
50	74	71
51	75	69
52	76	67
53	77	65
54	77	63
55	78	62
56	80	60
57	81	59
58	82	57
59	83	55
60	84	54
61	85	52
62	86	50
63	87	49
64	88	47
65	89	45
66	89	44
67	90	42
68	91	41
69	92	39
70	94	38
71	95	37
72	96	35
73	97	34
74	98	32
75	99	31
76	99	29
77	100	28
78	101	27
79	102	25
80	103	24
81	104	22
82	105	21
83	105	20
84	106	18
85	108	17
86	109	16
87	110	15
88	111	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	117	3
97	118	2
98	119	1
99	120	0
