iter	Passed	Remaining
0	390	390482
1	396	197889
2	398	132533
3	400	99788
4	402	80143
5	409	67765
6	435	61838
7	444	55065
8	445	49101
9	449	44490
10	451	40590
11	466	38429
12	472	35877
13	478	33719
14	480	31566
15	519	31943
16	524	30327
17	526	28720
18	531	27418
19	537	26343
20	561	26187
21	626	27868
22	629	26729
23	632	25726
24	635	24766
25	637	23887
26	639	23042
27	641	22261
28	645	21627
29	647	20951
30	650	20321
31	668	20226
32	670	19651
33	712	20247
34	716	19744
35	729	19530
36	731	19031
37	734	18587
38	736	18145
39	738	17720
40	747	17489
41	749	17099
42	751	16729
43	753	16371
44	755	16028
45	757	15703
46	759	15396
47	780	15473
48	822	15954
49	825	15693
50	828	15418
51	830	15141
52	835	14926
53	838	14680
54	862	14820
55	864	14576
56	866	14339
57	881	14323
58	884	14099
59	885	13878
60	887	13665
61	911	13791
62	914	13595
63	915	13395
64	920	13234
65	928	13145
66	930	12960
67	932	12784
68	935	12616
69	937	12449
70	943	12342
71	950	12253
72	952	12097
73	962	12050
74	967	11932
75	980	11922
76	992	11895
77	994	11749
78	1011	11792
79	1013	11659
80	1015	11522
81	1021	11434
82	1022	11292
83	1036	11307
84	1038	11182
85	1040	11060
86	1042	10941
87	1045	10831
88	1047	10717
89	1049	10613
90	1052	10511
91	1054	10403
92	1055	10298
93	1061	10233
94	1064	10138
95	1066	10039
96	1068	9943
97	1086	9998
98	1088	9904
99	1092	9835
100	1094	9743
101	1141	10049
102	1143	9960
103	1145	9867
104	1153	9830
105	1155	9744
106	1157	9659
107	1159	9575
108	1165	9527
109	1167	9447
110	1169	9369
111	1176	9328
112	1186	9313
113	1189	9242
114	1191	9168
115	1196	9119
116	1198	9042
117	1200	8971
118	1201	8897
119	1203	8824
120	1229	8931
121	1234	8886
122	1238	8830
123	1240	8762
124	1245	8715
125	1247	8655
126	1249	8588
127	1251	8527
128	1253	8466
129	1263	8453
130	1265	8396
131	1285	8451
132	1287	8391
133	1293	8360
134	1295	8300
135	1297	8242
136	1299	8184
137	1301	8127
138	1303	8073
139	1306	8025
140	1308	7971
141	1309	7912
142	1311	7858
143	1313	7806
144	1318	7774
145	1346	7874
146	1352	7850
147	1355	7802
148	1357	7752
149	1360	7707
150	1362	7658
151	1367	7629
152	1369	7581
153	1371	7532
154	1373	7485
155	1375	7443
156	1380	7410
157	1382	7366
158	1384	7325
159	1386	7281
160	1388	7234
161	1390	7191
162	1392	7149
163	1422	7253
164	1424	7209
165	1439	7232
166	1441	7190
167	1448	7173
168	1450	7134
169	1452	7092
170	1454	7051
171	1456	7010
172	1461	6985
173	1463	6945
174	1465	6906
175	1466	6867
176	1468	6830
177	1470	6790
178	1472	6753
179	1478	6734
180	1480	6696
181	1481	6660
182	1483	6624
183	1485	6588
184	1488	6555
185	1491	6526
186	1493	6495
187	1495	6460
188	1497	6426
189	1499	6393
190	1506	6380
191	1508	6347
192	1510	6314
193	1512	6285
194	1514	6253
195	1521	6239
196	1523	6208
197	1547	6266
198	1561	6283
199	1563	6252
200	1569	6237
201	1573	6216
202	1575	6186
203	1578	6158
204	1580	6129
205	1589	6128
206	1592	6100
207	1595	6073
208	1599	6053
209	1641	6176
210	1644	6149
211	1649	6129
212	1652	6106
213	1654	6076
214	1656	6047
215	1659	6021
216	1661	5994
217	1668	5984
218	1670	5957
219	1673	5932
220	1675	5904
221	1681	5892
222	1687	5879
223	1689	5851
224	1690	5824
225	1692	5795
226	1732	5901
227	1734	5874
228	1739	5857
229	1741	5831
230	1753	5837
231	1755	5812
232	1758	5787
233	1769	5792
234	1772	5768
235	1775	5746
236	1782	5737
237	1784	5712
238	1786	5687
239	1788	5662
240	1790	5637
241	1794	5620
242	1796	5595
243	1798	5571
244	1805	5565
245	1828	5603
246	1830	5581
247	1834	5561
248	1838	5543
249	1843	5531
250	1845	5508
251	1847	5483
252	1866	5512
253	1868	5487
254	1878	5487
255	1880	5464
256	1882	5441
257	1918	5517
258	1920	5495
259	1924	5477
260	1926	5454
261	1928	5431
262	1929	5407
263	1931	5385
264	1934	5365
265	1937	5345
266	1941	5328
267	1943	5308
268	1945	5285
269	1968	5320
270	1973	5308
271	1975	5286
272	1977	5266
273	1982	5252
274	1984	5231
275	1987	5213
276	1989	5194
277	1991	5173
278	1993	5152
279	1995	5131
280	2012	5149
281	2018	5140
282	2021	5121
283	2023	5101
284	2026	5083
285	2028	5063
286	2035	5057
287	2038	5039
288	2040	5019
289	2042	5001
290	2049	4992
291	2050	4972
292	2052	4953
293	2054	4933
294	2060	4924
295	2078	4944
296	2082	4928
297	2084	4910
298	2091	4904
299	2093	4885
300	2095	4867
301	2097	4848
302	2099	4830
303	2101	4811
304	2103	4794
305	2105	4776
306	2107	4757
307	2109	4739
308	2114	4729
309	2146	4777
310	2148	4759
311	2150	4742
312	2152	4724
313	2154	4706
314	2156	4689
315	2158	4671
316	2160	4654
317	2165	4643
318	2169	4632
319	2171	4615
320	2173	4597
321	2175	4581
322	2180	4569
323	2216	4624
324	2218	4608
325	2221	4592
326	2223	4575
327	2224	4558
328	2229	4547
329	2231	4530
330	2233	4513
331	2235	4497
332	2237	4482
333	2239	4465
334	2241	4449
335	2243	4434
336	2247	4422
337	2257	4421
338	2259	4406
339	2262	4391
340	2264	4375
341	2266	4360
342	2268	4344
343	2273	4334
344	2275	4319
345	2277	4304
346	2279	4290
347	2282	4275
348	2284	4260
349	2288	4250
350	2290	4235
351	2292	4220
352	2296	4208
353	2298	4194
354	2302	4183
355	2305	4170
356	2307	4155
357	2308	4140
358	2310	4125
359	2313	4112
360	2315	4098
361	2317	4084
362	2322	4075
363	2324	4061
364	2329	4053
365	2331	4039
366	2360	4072
367	2363	4058
368	2365	4044
369	2367	4030
370	2369	4017
371	2371	4003
372	2376	3994
373	2379	3982
374	2381	3968
375	2383	3954
376	2384	3941
377	2386	3927
378	2388	3914
379	2392	3904
380	2395	3892
381	2406	3893
382	2408	3879
383	2410	3866
384	2412	3853
385	2414	3840
386	2416	3827
387	2420	3818
388	2423	3806
389	2425	3793
390	2426	3780
391	2429	3768
392	2432	3756
393	2438	3750
394	2440	3738
395	2442	3725
396	2464	3742
397	2468	3733
398	2471	3721
399	2472	3709
400	2474	3696
401	2477	3684
402	2478	3672
403	2484	3664
404	2486	3653
405	2488	3641
406	2491	3629
407	2493	3617
408	2495	3605
409	2499	3596
410	2519	3610
411	2521	3598
412	2523	3586
413	2525	3574
414	2527	3562
415	2531	3554
416	2534	3543
417	2536	3532
418	2538	3520
419	2540	3508
420	2542	3496
421	2547	3489
422	2549	3477
423	2551	3466
424	2566	3472
425	2568	3460
426	2570	3449
427	2572	3437
428	2574	3427
429	2582	3422
430	2584	3411
431	2586	3400
432	2588	3388
433	2590	3377
434	2593	3369
435	2595	3357
436	2597	3346
437	2598	3334
438	2600	3323
439	2602	3312
440	2619	3319
441	2621	3309
442	2627	3304
443	2629	3293
444	2631	3282
445	2633	3271
446	2636	3261
447	2638	3250
448	2643	3243
449	2645	3232
450	2647	3223
451	2650	3213
452	2652	3202
453	2673	3214
454	2678	3208
455	2680	3197
456	2682	3186
457	2683	3176
458	2685	3165
459	2689	3157
460	2691	3147
461	2693	3136
462	2696	3127
463	2698	3116
464	2700	3106
465	2705	3100
466	2707	3090
467	2712	3083
468	2714	3073
469	2716	3063
470	2718	3053
471	2724	3047
472	2726	3037
473	2727	3027
474	2730	3017
475	2732	3007
476	2734	2998
477	2737	2989
478	2739	2979
479	2740	2969
480	2742	2959
481	2745	2950
482	2757	2951
483	2758	2941
484	2760	2931
485	2771	2931
486	2773	2921
487	2776	2912
488	2778	2903
489	2782	2895
490	2784	2886
491	2786	2876
492	2788	2867
493	2789	2857
494	2792	2849
495	2808	2853
496	2814	2848
497	2855	2878
498	2857	2869
499	2859	2859
500	2863	2852
501	2865	2843
502	2867	2833
503	2869	2824
504	2871	2814
505	2873	2805
506	2875	2795
507	2879	2788
508	2890	2788
509	2893	2780
510	2897	2772
511	2904	2768
512	2906	2759
513	2911	2752
514	2913	2743
515	2915	2734
516	2916	2724
517	2918	2715
518	2920	2706
519	2924	2699
520	2927	2691
521	2929	2682
522	2931	2673
523	2933	2664
524	2934	2655
525	2936	2646
526	2943	2642
527	2945	2633
528	2947	2624
529	2949	2615
530	2950	2606
531	2951	2596
532	2957	2591
533	2960	2583
534	2963	2575
535	2965	2566
536	2966	2558
537	2968	2549
538	2971	2541
539	2973	2532
540	2974	2523
541	2976	2514
542	2977	2506
543	2979	2497
544	2981	2489
545	2983	2480
546	2986	2473
547	2988	2465
548	2990	2456
549	2992	2448
550	2993	2439
551	2995	2431
552	2997	2422
553	2999	2415
554	3001	2406
555	3003	2398
556	3004	2389
557	3006	2381
558	3009	2374
559	3011	2366
560	3013	2358
561	3017	2351
562	3019	2343
563	3020	2335
564	3022	2327
565	3024	2318
566	3025	2310
567	3027	2302
568	3029	2294
569	3032	2287
570	3033	2279
571	3035	2271
572	3037	2263
573	3038	2255
574	3040	2247
575	3042	2239
576	3043	2231
577	3046	2223
578	3048	2216
579	3049	2208
580	3051	2200
581	3053	2193
582	3055	2185
583	3057	2177
584	3059	2170
585	3062	2163
586	3064	2156
587	3066	2148
588	3067	2140
589	3070	2133
590	3071	2125
591	3073	2118
592	3075	2110
593	3077	2103
594	3079	2095
595	3080	2088
596	3082	2081
597	3084	2073
598	3086	2066
599	3088	2058
600	3090	2051
601	3092	2044
602	3094	2037
603	3095	2029
604	3097	2022
605	3099	2014
606	3100	2007
